fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0036","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - SHAPELLS","SHAPELLS","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16673","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0037","SUBLEASE AGREEMENT 420 COLLEGE DRIVE UNIT 107 - YOUTH CRISIS CENTER SUBLEASE","YOUTH CRISIS CENTER SUBLEASE","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16681","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0039","MOBILITY FEE CREDIT AGREEMENT AND ADEQUATE PUBLIC FACILITIES AGREEMENT FOR DONATION OF RIGHT OF WAY AND CONSTRUCTION OF A PORTION OF FEED MILL ROAD RE: SARATOGA SAGEBROOK LLC",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16650","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0040","EQUITABLE SHARING AGREEMENT AND CERTIFICATION - CCSO",,"Sheriff/Jail",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16693","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0041","CONVEYANCE AGREEMENT - GH&G FLORIDA, LLC","GH&G FLORIDA, LLC","Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16651","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-10","2025/2026-0084","RED WING SHOES PROGRAM AGREEMENT - WORK BOOTS","WORK BOOTS","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16758","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-10","2025/2026-22 AM1","FIRST AMENDMENT TO AGREEMENT FOR THE PURCHASE AND INSTALLATION OF GAS WATER HEATERS - BTU","BTU","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-22","https://dmcc.clayclerk.com/Documents/Download/16677","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-11","2025/2026-0038","INTERLOCAL AGREEMENT REGARDING REPAIR TO TOWN CENTER BOULEVARD - FLEMING ISLAND PLANTATION CDD",,"Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16649","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-13","2025/2026-0034","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - MERIDIAN WASTE","MERIDIAN WASTE","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16659","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-19","2022/2023-266 AM4","FOURTH AMENDMENT TO AGREEMENT FOR GROUNDSKEEPING SERVICES FOR CLAY COUNTY FACILITIES",,"Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2022/2023-266","https://dmcc.clayclerk.com/Documents/Download/16705","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-19","2025/2026-0042","MEMORANDUM OF AGREEMENT FOR IN-KIND DONATION OF SHADE STRUCTURES AT NEPTUNE PARK - IN-KIND DONATION FIAA",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16678","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-19","2025/2026-0043","MEMORANDUM OF UNDERSTANDING BETWEEN CLAY COUNTY AND FLORIDA DEPARTMENT OF LAW ENFORCEMENT [CLAY COUNTY PUBLIC SAFETY RADIO SYSTEM INTEROPERABILITY]",,"Public Safety",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16721","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-21","2019/2020-113 AM8","TYLER TECHNOLOGIES - SERVICE AGREEMENT","Tyler Technologies","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-113","https://dmcc.clayclerk.com/Documents/Download/16668","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-21","2021/2022-198 AM4","FOURTH AMENDMENT TO AGREEMENT FOR PROFESSIONAL ENGINEERING SERVICES FOR STORMWATER MODELING AND VULNERABILITY ASSESSMENT - JONES EDMUNDS STORMWATER UTILITY ANALYSIS","JONES EDMUNDS STORMWATER UTILITY ANALYSIS","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-198","https://dmcc.clayclerk.com/Documents/Download/16660","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-21","2025/2026-0045","AGREEMENT FOR WASTE TIRE DISPOSAL SERVICES - WASTE TIRE DISPOSAL - PUTNAM COUNTY","PUTNAM COUNTY","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16667","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-25","2020/2021-91 RN1","WORKDAY AGREEMENT","Workday","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2020/2021-91","https://dmcc.clayclerk.com/Documents/Download/16734","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-25","2021/2022-198 AM5","FIFTH AMENDMENT TO AGREEMENT FOR PROFESSIONAL ENGINEERING SERVICES FOR STORMWATER MODELING AND VULNERABILITY ASSESSMENT - JONES EDMUNDS ADAPTATION PLAN","JONES EDMUNDS ADAPTATION PLAN","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-198","https://dmcc.clayclerk.com/Documents/Download/16704","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-25","2022/2023-255 MOD2","MODIFICATION TO SUBGRANT AGREEMENT BETWEEN THE DIVISION OF EMERGENCY MANAGEMENT AND CLAY COUNTY - FDEM HMGP",,"Public Safety",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2022/2023-255","https://dmcc.clayclerk.com/Documents/Download/16733","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-11-25","2024/2025-68 AM1","STRYKER PREVENTATIVE MAINTENANCE - STRYKER PRO CARE","STRYKER PRO CARE","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-68","https://dmcc.clayclerk.com/Documents/Download/16711","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-25","2025/2026-0004","TOURIST DEVELOPMENT COUNCIL SIGNATURE EVENT MARKETING GRANT FUNDING AGREEMENT - TOWN OF ORANGE PARK",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16654","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-11-25","2025/2026-0046","ESC19 INTERLOCAL CONTRACT COOPERATIVE PURCHASING AGREEMENT ESC19 EDUCATION SERVICE CENTER",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16653","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-04","2022/2023-108 AM2","SECOND AMENDMENT TO AGREEMENT FOR PROFESSIONAL DESIGN SERVICES FOR CLAY COUNTY BUILDING/ECONOMIC DEVELOPMENT SERVICES FACILITY - WALKER ARCHITECTS","WALKER ARCHITECTS","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-108","https://dmcc.clayclerk.com/Documents/Download/16759","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-04","2023/2024-212 AM1","AMENDMENT NUMBER 1 TO CONTRACT FM912 BETWEEN THE DEPARTMENT OF FINANCIAL SERVICES AND BoCC - GRANT AGREEMENT FS20",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2023/2024-212","https://dmcc.clayclerk.com/Documents/Download/16710","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-04","2025/2026-0047","AGREEMENT FOR SECURITY GATE AND CARD READERS FOR THE CLAY COUNTY JAIL - MILLER ELECTRIC","MILLER ELECTRIC","Sheriff/Jail",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16709","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-04","2025/2026-0048","AGREEMENT FOR FIRE STATION NO. 24 SITE CLEARING SERVICES - CONNOR CONSTRUCTION","CONNOR CONSTRUCTION","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16708","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-08","2024/2025-286 AM1","FIRST AMENDMENT TO AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) HOUSING REHABILITATION - 3647 CALVADOS AVENUE - HORNE","HORNE","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-286","https://dmcc.clayclerk.com/Documents/Download/16712","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-08","2025/2026-0052","AVAAP AMS LIFELINE SUPPORT","Avaap","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16714","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-09","2025/2026-0049","FDLE JAG DRUG REDUCTION AWARD",,"Public Safety",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16725","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-09","2025/2026-0051","APCO INTELLICOM SOFTWARE GUIDECARD SYSTEM","APCO International","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16716","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-09","2025/2026-0056","TOURIST DEVELOPMENT COUNCIL PRODUCT DEVELOPMENT GRANT AGREEMENT - SAILFORTH, LLC. DBA SAILFORTH PRODUCTIONS",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16742","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-09","2025/2026-0057","TOURIST DEVELOPMENT COUNCIL PRODUCT DEVELOPMENT GRANT AGREEMENT - MINOR LEAGUE GOLF, LLC",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16743","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-12","2023/2024-82 RN1","FIRST RENEWAL TO AGREEMENT FOR GUARDRAIL REPAIR, INSTALLATION AND REPLACEMENT CONTINUING SERVICES - ACME BARRICADES - GUARDRAIL REPAIR","GUARDRAIL REPAIR","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-82","https://dmcc.clayclerk.com/Documents/Download/16782","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-12","2025/2026-0050","AGREEMENT FOR FULL COST ALLOCATION PLAN FOR CLAY COUNTY- MAGUIRE ASSOCIATION",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16715","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-16","2025/2026-0053","AGREEMENT FOR OLD JENNINGS AND LONG BAY TRAFFIC SIGNAL AND INTERSECTION IMPROVEMENTS - CHINCHOR ELECTRIC","CHINCHOR ELECTRIC","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16730","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-16","2025/2026-0054","AGREEMENT FOR UNINTERRUPTIBLE POWER SUPPLY (UPS) SYSTEM AT THE CLAY COUNTY COURTHOUSE - SANTA FE POWER SOLUTIONS","SANTA FE POWER SOLUTIONS","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16729","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-17","2020/2021-247 RN2","KULTURE CITY - LIBRARIES","LIBRARIES","Libraries/Media",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2020/2021-247","https://dmcc.clayclerk.com/Documents/Download/16731","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-19","2024/2025-41 AM2","SECOND AMENDMENT TO AGREEMENT FOR CR 220 WIDENING – PHASE 2 - REEVES CONSTRUCTION","REEVES CONSTRUCTION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-41","https://dmcc.clayclerk.com/Documents/Download/16778","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2025-12-19","2024/2025-94 AM2","SECOND AMENDMENT TO AGREEMENT FOR FIRE AND SECURITY ALARM MONITORING, INSPECTIONS, REPAIR AND MAINTENANCE - VILLAGE KEY ALARM","VILLAGE KEY ALARM","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-94","https://dmcc.clayclerk.com/Documents/Download/16739","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-19","2025/2026-0058","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - HAOLENAUT SPORTS",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16740","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-19","2025/2026-0059","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - JACKSONVILLE SCOTTISH HIGHLAND GAMES, INC.",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16744","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2025-12-22","2025/2026-0060","AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) - HOUSING REHABILITATION - 4087 PINTO ROAD - MARY ELLEN ARCHER - DAYMON WELL DRILLING","DAYMON WELL DRILLING","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16738","Clerk index metadata verified; document terms and payment chain require document-level review."
